#Sample interval: 8 ns
#Gate length: ch0: 280 ch1: 50
#Format:
#Channel;time/s;energy/channels;PSD or risetime
0;296.3623849866563;112;197
0;296.37912617600006;8;86
0;296.3977678700938;1036;85
0;296.41468023678135;264;0
0;296.42625655000006;152;0
0;296.4301787200001;226;1
0;296.445144887;505;149
0;296.45238105600004;90;105
0;296.4708620640001;229;1
0;296.47716376400007;345;0
0;296.47874460800006;277;0
0;296.4915948440001;119;0
0;296.56274316800005;4;34
0;296.56754317200006;106;248
0;296.57026197600004;110;197
0;296.5797852586563;134;1
0;296.579839309;436;113
0;296.58844628800006;48;35
0;296.59250271200005;54;53
0;296.5980503539063;1438;9
0;296.6472149733125;3;0
0;296.649538018;164;231
0;296.65360428;84;197
0;296.6631397571563;952;163
1;296.55125011200005;6;0
0;296.66838652;60;110
0;296.7247946887813;556;124
0;296.73292759465625;223;0
0;296.74754865550005;1933;174
0;296.76854082400007;5;0
0;296.78435778931254;266;0
0;296.79920973200007;117;0
0;296.80043684800006;160;89
0;296.80489998800005;54;0
0;296.80644995500006;478;0
0;296.8482924080001;60;0
0;296.85717481600005;36;13
0;296.8669344376563;1385;0
1;296.72479473484384;5;0
1;296.88076732234384;4;227
0;296.87179697331254;114;0
0;296.8816943053126;353;200
0;296.8909464773125;129;13
0;296.8920531626563;85;126
0;296.89821754753126;1005;0
0;296.8999859386563;179;102
1;296.8816943107188;235;221
0;296.91009584000005;8;0
0;296.914696916;329;81
0;296.91664647428127;355;16
0;296.92004260000004;54;0
0;296.92672065743756;597;0
0;296.92686337600003;60;61
0;296.93169902000005;72;0
0;296.93471516400007;75;190
0;296.96219950665625;152;223
0;296.9644578127813;348;0
0;296.97907276800004;556;0
0;296.9818892232188;2362;0
0;296.982035852;83;190
0;296.9902527400001;41;0
0;296.995519712375;1147;0
0;297.02692230400004;555;124
0;297.0533443071875;4;180
0;297.06727573200004;78;0
0;297.08963466800003;122;61
0;297.0917180351875;211;129
0;297.1350419546563;150;0
0;297.15824438400006;149;0
0;297.1713446773125;3;0
1;297.0471932223751;3;0
0;297.21532762600003;264;43
0;297.2266899550313;1388;0
0;297.2598608662813;351;0
0;297.2651865893125;228;0
0;297.28380519150005;1041;0
0;297.28391837600003;507;0
0;297.300171904;1273;0
1;297.2251092415938;5;0
0;297.31188300400004;8;191
0;297.3759181247813;323;0
1;297.34307015200005;4;0
0;297.38985370753124;542;33
0;297.39268634000007;72;0
0;297.41985045600006;81;221
0;297.4355998853125;221;0
0;297.446554376;2;100
0;297.455886968;151;85
0;297.511744808;57;0
0;297.52372970325;590;214
0;297.52651475475005;1517;180
0;297.546102548;108;0
1;297.3911390126875;342;222
0;297.554573832;558;229
0;297.55546768000005;112;126
0;297.5706001120001;43;0
0;297.57543770200004;4;239
0;297.59794018400004;224;135
0;297.61574806400006;107;34
0;297.62170207400004;553;0
0;297.6637540420626;1171;95
0;297.67501242400004;365;189
0;297.67544168000006;125;0
0;297.68036805200006;203;0
0;297.68432708000006;57;0
0;297.6849163493125;155;0
0;297.68942861712503;272;74
0;297.70835428143755;7;229
0;297.71508945003126;2363;0
0;297.74742508800006;228;0
0;297.7559644271875;537;0
0;297.7615941222813;427;0
0;297.76207367200004;131;0
0;297.77972280800003;93;222
0;297.780080898;201;0
0;297.78585940000005;101;0
0;297.811011016;135;0
1;297.68909569900006;4;0
0;297.817115962;476;0
0;297.821249512;257;0
0;297.83468421290627;638;32
0;297.83598592000004;115;0
0;297.840151836;414;172
0;297.8606024955313;7;0
0;297.87089237600003;33;15
0;297.873968032;385;0
0;297.8808177866563;147;0
0;297.88339346665623;282;0
1;297.82124947856255;5;219
0;297.8852822687813;354;0
0;297.9044044853125;128;1
0;297.919998336;126;0
0;297.93509318400004;53;3
0;297.935185992;38;6
0;297.94109891465627;116;0
0;297.960933548;150;124
0;297.9610432560001;325;0
0;297.96756580000005;59;0
0;297.9832547800001;7;14
0;298.0024109111563;962;0
0;298.00458455000006;105;224
0;298.00874139200005;39;0
0;298.02464626550005;934;0
0;298.0281311653125;167;250
0;298.032434392;143;178
